year/month,location,rainfall(mm)
Jan-80,184,87.1
Feb-80,184,45.8
Mar-80,184,120
Apr-80,184,79.3
May-80,184,166.8
Jun-80,184,121.9
Jul-80,184,195.3
Aug-80,184,372.5
Sep-80,184,55.3
Oct-80,184,112.9
Nov-80,184,128.6
Dec-80,184,60.1
Jan-81,184,33.1
Feb-81,184,76.7
Mar-81,184,19.7
Apr-81,184,86.6
May-81,184,27.7
Jun-81,184,187.4
Jul-81,184,113.8
Aug-81,184,327.2
Sep-81,184,464.5
Oct-81,184,169.2
Nov-81,184,86.2
Dec-81,184,20.3
Jan-82,184,75.9
Feb-82,184,37.4
Mar-82,184,60.4
Apr-82,184,152.3
May-82,184,28.4
Jun-82,184,25.5
Jul-82,184,309.8
Aug-82,184,250.6
Sep-82,184,91.4
Oct-82,184,67.5
Nov-82,184,105.3
Dec-82,184,43.5
Jan-83,184,55.4
Feb-83,184,63.4
Mar-83,184,69.6
Apr-83,184,85.7
May-83,184,88.9
Jun-83,184,63.6
Jul-83,184,217.9
Aug-83,184,112.9
Sep-83,184,449.9
Oct-83,184,77.2
Nov-83,184,77
Dec-83,184,12.1
Jan-84,184,22.2
Feb-84,184,26.2
Mar-84,184,43.3
Apr-84,184,84.7
May-84,184,35.1
Jun-84,184,179.5
Jul-84,184,86.3
Aug-84,184,187.2
Sep-84,184,72.5
Oct-84,184,28.4
Nov-84,184,36.3
Dec-84,184,76.8
Jan-85,184,31.5
Feb-85,184,164.1
Mar-85,184,141.3
Apr-85,184,149.3
May-85,184,78.1
Jun-85,184,693.9
Jul-85,184,259.8
Aug-85,184,279.3
Sep-85,184,104.8
Oct-85,184,421.4
Nov-85,184,43.4
Dec-85,184,53.7
Jan-86,184,50.4
Feb-86,184,39.6
Mar-86,184,41.9
Apr-86,184,52.4
May-86,184,61.5
Jun-86,184,178.6
Jul-86,184,490
Aug-86,184,477.6
Sep-86,184,273.7
Oct-86,184,56.9
Nov-86,184,32.3
Dec-86,184,73.7
Jan-87,184,40.7
Feb-87,184,62.5
Mar-87,184,134.4
Apr-87,184,99
May-87,184,88
Jun-87,184,170.5
Jul-87,184,586.3
Aug-87,184,428.6
Sep-87,184,29.6
Oct-87,184,18.3
Nov-87,184,46.5
Dec-87,184,15
Jan-88,184,11.7
Feb-88,184,53.3
Mar-88,184,160.7
Apr-88,184,72.8
May-88,184,156.1
Jun-88,184,116.9
Jul-88,184,233.4
